"Interval start","CUBIC_1","CUBIC_2"
0,2.69563e+06,0
1,4.38746e+06,0
2,4.35059e+06,0
3,4.39957e+06,0
4,4.17419e+06,0
5,3.92829e+06,0
6,4.55491e+06,0
7,5.32477e+06,0
8,4.31795e+06,0
9,4.61494e+06,393952
10,2.37435e+06,2.68398e+06
11,2.35277e+06,2.15162e+06
12,1.4576e+06,4.48488e+06
13,1.74878e+06,3.42962e+06
14,4.25845e+06,1.6477e+06
15,1.7272e+06,2.93253e+06
16,2.38541e+06,3.37222e+06
17,3.51176e+06,1.76037e+06
18,2.45808e+06,2.10264e+06
19,1.62242e+06,2.96675e+06
20,1.44232e+06,3.43173e+06
21,2.2464e+06,2.63395e+06
22,1.46602e+06,3.84298e+06
23,2.69557e+06,3.5739e+06
24,3.774e+06,2.05842e+06
25,1.71509e+06,2.95517e+06
26,4.68656e+06,912064
27,2.60448e+06,2.04789e+06
28,2.97992e+06,3.93987e+06
29,818336,3.78664e+06
30,1.04318e+06,3.45173e+06
31,1.96258e+06,2.932e+06
32,2.16214e+06,2.54181e+06
33,2.79352e+06,2.24534e+06
34,2.2901e+06,2.52917e+06
35,1.92307e+06,1.60661e+06
36,2.14845e+06,1.5808e+06
37,1.60661e+06,1.56816e+06
38,1.00157e+06,2.67029e+06
39,2.64765e+06,661936
40,2.27851e+06,1.15902e+06
41,3.47595e+06,0
42,4.83821e+06,0
43,3.2511e+06,0
44,2.92094e+06,0
45,5.58542e+06,0
46,5.52434e+06,0
47,5.27632e+06,0
48,2.8251e+06,0
49,2.95517e+06,0
50,1.24174e+06,0
