"Interval start","CUBIC","BBR"
0,5.67397e+06,0
1,6.94768e+06,0
2,4.13891e+06,0
3,4.57755e+06,0
4,3.92512e+06,0
5,4.81504e+06,0
6,6.77075e+06,0
7,5.78658e+06,0
8,3.20213e+06,0
9,3.55704e+06,0
10,2.5655e+06,0
11,3.36747e+06,1.67512e+06
12,979456,4.24475e+06
13,398640,4.94458e+06
14,96896,6.03354e+06
15,24224,6.36528e+06
16,12112,6.62646e+06
17,181680,4.64653e+06
18,335968,4.3269e+06
19,193792,5.6544e+06
20,120592,5.0025e+06
21,169568,4.78923e+06
22,205904,5.42902e+06
23,363360,3.47331e+06
24,432864,3.5207e+06
25,458144,3.94723e+06
26,72672,5.10939e+06
27,133232,4.76606e+06
28,351248,5.34688e+06
29,145344,6.00984e+06
30,0,6.11674e+06
31,302272,5.61912e+06
32,121120,5.42902e+06
33,133232,6.00984e+06
34,96896,5.29843e+06
35,121120,4.46907e+06
36,393360,4.35059e+06
37,193792,5.92717e+06
38,84784,5.76077e+06
39,24224,4.71762e+06
40,339136,4.70603e+06
41,503424,5.14467e+06
42,2.31749e+06,1.40099e+06
43,4.79187e+06,0
44,5.83344e+06,0
45,5.6107e+06,0
46,6.14202e+06,0
47,6.58066e+06,0
48,6.42637e+06,0
49,6.21416e+06,0
50,1.04813e+06,0
